what,kind,bundleId,bundleVersion,description,time
installed,bundle,org.python.pydev.templates,1.5.6.2010033101,"org.python.pydev.templates",1271718982481
installed,bundle,sf.eclipse.javacc,1.5.22,"sf.eclipse.javacc",1271718982482
stopped,bundle,com.python.pydev.fastparser,1.5.5.2010030420,"com.python.pydev.fastparser",1271718982531
unresolved,bundle,com.python.pydev.fastparser,1.5.5.2010030420,"com.python.pydev.fastparser",1271718982552
uninstalled,bundle,com.python.pydev.fastparser,1.5.5.2010030420,"com.python.pydev.fastparser",1271718982564
unresolved,bundle,org.eclipse.mylyn.discovery.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.discovery.core",1271718982569
uninstalled,bundle,org.eclipse.mylyn.discovery.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.discovery.core",1271718982569
stopped,bundle,com.python.pydev,1.5.5.2010030420,"com.python.pydev",1271718982570
unresolved,bundle,com.python.pydev,1.5.5.2010030420,"com.python.pydev",1271718982590
uninstalled,bundle,com.python.pydev,1.5.5.2010030420,"com.python.pydev",1271718982591
stopped,bundle,org.python.pydev,1.5.5.2010030420,"org.python.pydev",1271718982596
unresolved,bundle,org.python.pydev,1.5.5.2010030420,"org.python.pydev",1271718982622
uninstalled,bundle,org.python.pydev,1.5.5.2010030420,"org.python.pydev",1271718982623
stopped,bundle,net.sf.jautodoc,1.6.0,"net.sf.jautodoc",1271718982623
unresolved,bundle,net.sf.jautodoc,1.6.0,"net.sf.jautodoc",1271718982628
uninstalled,bundle,net.sf.jautodoc,1.6.0,"net.sf.jautodoc",1271718982628
unresolved,bundle,net.sf.jautodoc.velocity,1.6.0,"net.sf.jautodoc.velocity",1271718982629
uninstalled,bundle,net.sf.jautodoc.velocity,1.6.0,"net.sf.jautodoc.velocity",1271718982629
stopped,bundle,com.python.pydev.debug,1.5.5.2010030420,"com.python.pydev.debug",1271718982630
unresolved,bundle,com.python.pydev.debug,1.5.5.2010030420,"com.python.pydev.debug",1271718982631
uninstalled,bundle,com.python.pydev.debug,1.5.5.2010030420,"com.python.pydev.debug",1271718982632
stopped,bundle,org.python.pydev.customizations,1.5.5.2010030420,"org.python.pydev.customizations",1271718982632
unresolved,bundle,org.python.pydev.customizations,1.5.5.2010030420,"org.python.pydev.customizations",1271718982635
uninstalled,bundle,org.python.pydev.customizations,1.5.5.2010030420,"org.python.pydev.customizations",1271718982635
stopped,bundle,org.python.pydev.debug,1.5.5.2010030420,"org.python.pydev.debug",1271718982637
unresolved,bundle,org.python.pydev.debug,1.5.5.2010030420,"org.python.pydev.debug",1271718982645
uninstalled,bundle,org.python.pydev.debug,1.5.5.2010030420,"org.python.pydev.debug",1271718982645
stopped,bundle,org.python.pydev.parser,1.5.5.2010030420,"org.python.pydev.parser",1271718982646
unresolved,bundle,org.python.pydev.parser,1.5.5.2010030420,"org.python.pydev.parser",1271718982647
uninstalled,bundle,org.python.pydev.parser,1.5.5.2010030420,"org.python.pydev.parser",1271718982647
stopped,bundle,com.python.pydev.refactoring,1.5.5.2010030420,"com.python.pydev.refactoring",1271718982647
unresolved,bundle,com.python.pydev.refactoring,1.5.5.2010030420,"com.python.pydev.refactoring",1271718982651
uninstalled,bundle,com.python.pydev.refactoring,1.5.5.2010030420,"com.python.pydev.refactoring",1271718982652
stopped,bundle,org.python.pydev.refactoring,1.5.5.2010030420,"org.python.pydev.refactoring",1271718982652
unresolved,bundle,org.python.pydev.refactoring,1.5.5.2010030420,"org.python.pydev.refactoring",1271718982653
uninstalled,bundle,org.python.pydev.refactoring,1.5.5.2010030420,"org.python.pydev.refactoring",1271718982653
stopped,bundle,org.python.pydev.core,1.5.5.2010030420,"org.python.pydev.core",1271718982654
unresolved,bundle,org.python.pydev.core,1.5.5.2010030420,"org.python.pydev.core",1271718982654
uninstalled,bundle,org.python.pydev.core,1.5.5.2010030420,"org.python.pydev.core",1271718982654
stopped,bundle,net.sourceforge.texlipse,1.3.0,"net.sourceforge.texlipse",1271718982655
unresolved,bundle,net.sourceforge.texlipse,1.3.0,"net.sourceforge.texlipse",1271718982664
uninstalled,bundle,net.sourceforge.texlipse,1.3.0,"net.sourceforge.texlipse",1271718982665
stopped,bundle,org.python.pydev.ast,1.5.5.2010030420,"org.python.pydev.ast",1271718982665
unresolved,bundle,org.python.pydev.ast,1.5.5.2010030420,"org.python.pydev.ast",1271718982666
uninstalled,bundle,org.python.pydev.ast,1.5.5.2010030420,"org.python.pydev.ast",1271718982666
stopped,bundle,com.python.pydev.analysis,1.5.5.2010030420,"com.python.pydev.analysis",1271718982666
unresolved,bundle,com.python.pydev.analysis,1.5.5.2010030420,"com.python.pydev.analysis",1271718982671
uninstalled,bundle,com.python.pydev.analysis,1.5.5.2010030420,"com.python.pydev.analysis",1271718982671
stopped,bundle,org.python.pydev.help,1.5.5.2010030420,"org.python.pydev.help",1271718982672
unresolved,bundle,org.python.pydev.help,1.5.5.2010030420,"org.python.pydev.help",1271718982672
uninstalled,bundle,org.python.pydev.help,1.5.5.2010030420,"org.python.pydev.help",1271718982672
unresolved,bundle,org.eclipse.mylyn,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn",1271718982672
uninstalled,bundle,org.eclipse.mylyn,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn",1271718982673
stopped,bundle,sf.eclipse.javacc,1.5.21,"sf.eclipse.javacc",1271718982673
unresolved,bundle,sf.eclipse.javacc,1.5.21,"sf.eclipse.javacc",1271718982687
uninstalled,bundle,sf.eclipse.javacc,1.5.21,"sf.eclipse.javacc",1271718982688
stopped,bundle,com.python.pydev.codecompletion,1.5.5.2010030420,"com.python.pydev.codecompletion",1271718982689
unresolved,bundle,com.python.pydev.codecompletion,1.5.5.2010030420,"com.python.pydev.codecompletion",1271718982690
uninstalled,bundle,com.python.pydev.codecompletion,1.5.5.2010030420,"com.python.pydev.codecompletion",1271718982690
stopped,bundle,org.python.pydev.templates,1.5.5.2010030420,"org.python.pydev.templates",1271718982690
unresolved,bundle,org.python.pydev.templates,1.5.5.2010030420,"org.python.pydev.templates",1271718982691
uninstalled,bundle,org.python.pydev.templates,1.5.5.2010030420,"org.python.pydev.templates",1271718982691
unresolved,bundle,org.eclipse.mylyn.discovery.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.discovery.ui",1271718982693
uninstalled,bundle,org.eclipse.mylyn.discovery.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.discovery.ui",1271718982693
stopped,bundle,org.python.pydev.jython,1.5.5.2010030420,"org.python.pydev.jython",1271718982693
unresolved,bundle,org.python.pydev.jython,1.5.5.2010030420,"org.python.pydev.jython",1271718982695
uninstalled,bundle,org.python.pydev.jython,1.5.5.2010030420,"org.python.pydev.jython",1271718982695
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1271718982930
unresolved,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1271718982931
resolved,bundle,sf.eclipse.javacc,1.5.22,"sf.eclipse.javacc",1271718982974
resolved,bundle,org.python.pydev.help,1.5.6.2010033101,"org.python.pydev.help",1271718982975
resolved,bundle,org.python.pydev.core,1.5.6.2010033101,"org.python.pydev.core",1271718982976
resolved,bundle,org.python.pydev.parser,1.5.6.2010033101,"org.python.pydev.parser",1271718982977
