what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.apache.batik,1.6.0.v20060613-1220,"org.apache.batik",1271721331395
stopped,bundle,org.eclipse.tptp.test.samples,4.3.2.v200911121900,"org.eclipse.tptp.test.samples",1271721331395
stopped,bundle,org.eclipse.tptp.platform.report.ui,4.1.401.v200910161321,"org.eclipse.tptp.platform.report.ui",1271721331395
stopped,bundle,org.eclipse.tptp.platform.report.core,4.4.201.v200910161321,"org.eclipse.tptp.platform.report.core",1271721331395
stopped,bundle,org.eclipse.birt.chart.examples,2.5.2.v20091112,"org.eclipse.birt.chart.examples",1271721331396
stopped,bundle,org.eclipse.birt.chart.device.pdf,2.5.2.v20091022,"org.eclipse.birt.chart.device.pdf",1271721331396
stopped,bundle,org.topcased.modeler.export.html,3.1.0.v201003091128,"org.topcased.modeler.export.html",1271721331396
stopped,bundle,org.topcased.modeler.export,2.5.1.v201003091128,"org.topcased.modeler.export",1271721331396
stopped,bundle,org.eclipse.gmf.runtime.draw2d.ui.render.awt,1.3.0.v20100113-1121,"org.eclipse.gmf.runtime.draw2d.ui.render.awt",1271721331396
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,2.5.2.v20100210,"org.eclipse.birt.chart.reportitem.ui",1271721331396
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,2.5.2.v20100127,"org.eclipse.birt.report.item.crosstab.ui",1271721331396
stopped,bundle,org.eclipse.birt.report.designer.ui.cubebuilder,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.cubebuilder",1271721331396
stopped,bundle,org.eclipse.birt.report.designer.ui.data,2.5.2.v20100209,"org.eclipse.birt.report.designer.ui.data",1271721331396
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.script,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.editor.script",1271721331396
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.xml.wtp,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.editor.xml.wtp",1271721331396
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,2.5.2.v20100127,"org.eclipse.birt.report.designer.ui.ide",1271721331396
